"pais","CODIGO_PAIS","REGIAO","nivel_educacional","anos_programando","cargo_atual","anos_usando_ml","SALARIO_ANUAL_USD","linguagens_usadas","bancos_de_dados_usados","ferramentas_bi_usadas"
United States of America,,,Master’s degree,"10-20 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,Python;SQL;C;C++;Java,,
Japan,JPN,Asia,Bachelor’s degree,"10-20 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,,Python;SQL,,
United States of America,,,Master’s degree,"1-3 years",Data Engineer,Computers/Technology,,Python;SQL,,
Japan,JPN,Asia,I prefer not to answer,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,Python;SQL;Javascript,,
Poland,POL,Europe,Bachelor’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,40000.0,SQL,,
Canada,CAN,Americas,Bachelor’s degree,"10-20 years",Data Scientist,Computers/Technology,80000.0,Python;SQL,,
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Online Service/Internet-based Services,200000.0,Python;SQL;Bash,SQLite,
India,IND,Asia,Master’s degree,"10-20 years",Data Scientist,Computers/Technology,5000.0,Python;SQL;Javascript,,
India,IND,Asia,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,0.0,,,
India,IND,Asia,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,0.0,,,
United States of America,,,Doctoral degree,"20+ years",Data Scientist,Online Service/Internet-based Services,250000.0,Python;SQL;C++;Bash,SQLite;Oracle Database;MongoDB,
Italy,ITA,Europe,Master’s degree,"3-5 years",Data Scientist,Accounting/Finance,20000.0,Python;SQL,,
India,IND,Asia,Professional doctorate,"1-3 years",Data Scientist,Insurance/Risk Assessment,0.0,Python;R;SQL;MATLAB,,
United Kingdom of Great Britain and Northern Ireland,,,Master’s degree,"1-3 years",Data Scientist,Other,60000.0,Python;SQL,,
United States of America,,,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,60000.0,Python;R,MongoDB,
United States of America,,,Master’s degree,"3-5 years",Data Engineer,Government/Public Service,90000.0,Python;R;C#,,
Nigeria,NGA,Africa,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,0.0,,,
India,IND,Asia,I prefer not to answer,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,Python,,
Other,,,Doctoral degree,"10-20 years",Data Scientist,Online Service/Internet-based Services,50000.0,Python;R;SQL;C;MATLAB;Julia,MongoDB,
United States of America,,,Doctoral degree,"20+ years",Data Scientist,Accounting/Finance,125000.0,Python;R;SQL,MySQL,Microsoft Power BI
United States of America,,,Doctoral degree,"10-20 years",Data Scientist,Medical/Pharmaceutical,150000.0,Python;SQL;Bash,SQLite;Oracle Database,
India,IND,Asia,Master’s degree,"1-3 years",Data Scientist,Computers/Technology,300000.0,Python;SQL,PostgreSQL,Tableau
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Retail/Sales,150000.0,Python;SQL,MongoDB,
India,IND,Asia,I prefer not to answer,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,0.0,Python;SQL,,
Nigeria,NGA,Africa,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,0.0,Python,,
India,IND,Asia,Bachelor’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,3000.0,Python;SQL;C++;Java;Javascript,PostgreSQL;SQLite;MongoDB,Qlik Sense
Romania,ROU,Europe,Master’s degree,"3-5 years",Data Scientist,Computers/Technology,20000.0,Python,,
China,CHN,Asia,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,Python;SQL,,
Brazil,BRA,Americas,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,5000.0,Python,,
Tunisia,TUN,Africa,Bachelor’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,5000.0,Python;C;C++;Java;PHP,,
Canada,CAN,Americas,Master’s degree,"3-5 years",Data Scientist,Insurance/Risk Assessment,70000.0,Python,,
India,IND,Asia,Master’s degree,"5-10 years",Data Scientist,Online Service/Internet-based Services,30000.0,Python;Java,,
Germany,DEU,Europe,Doctoral degree,"5-10 years",Data Scientist,Broadcasting/Communications,40000.0,Python,,
India,IND,Asia,No formal education past high school,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,0.0,C++;Javascript,,
India,IND,Asia,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,3000.0,,,
United States of America,,,Master’s degree,"1-3 years",Data Scientist,Marketing/CRM,40000.0,Python;R;SQL,,
United Kingdom of Great Britain and Northern Ireland,,,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,30000.0,Python;SQL,,
United States of America,,,Bachelor’s degree,I have never written code,Data Administrator,Energy/Mining,60000.0,,,
Russia,RUS,Europe,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,1000.0,Python,,
Italy,ITA,Europe,Master’s degree,< 1 years,Data Engineer,Non-profit/Service,20000.0,SQL;PHP,,
Other,,,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,0.0,Python;C#;C++;Java,,
Turkey,TUR,Asia,Doctoral degree,"10-20 years",Data Scientist,Government/Public Service,60000.0,Python;R;SQL;C;C++;MATLAB,MySQL;MongoDB,Qlik Sense
Sri Lanka,LKA,Asia,Master’s degree,"10-20 years",Data Scientist,Computers/Technology,0.0,Python;Java,PostgreSQL,
India,IND,Asia,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,,,,
India,IND,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,7500.0,Python;SQL;MATLAB,,
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Computers/Technology,300000.0,Python;SQL,SQLite,
Argentina,ARG,Americas,Doctoral degree,"10-20 years",Data Scientist,Accounting/Finance,10000.0,Python;SQL;Java,,
United States of America,,,Doctoral degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,,,
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Accounting/Finance,125000.0,Python;R;SQL,,
United States of America,,,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,,Python;R;SQL,,
United Kingdom of Great Britain and Northern Ireland,,,Master’s degree,"20+ years",Data Scientist,Marketing/CRM,60000.0,Python;SQL;Bash,MongoDB,
India,IND,Asia,Bachelor’s degree,"1-3 years",Data Scientist,Other,0.0,Python,,
Poland,POL,Europe,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,20000.0,Python;SQL,,
United States of America,,,Doctoral degree,"5-10 years",Data Scientist,Computers/Technology,250000.0,Python;R;SQL;MATLAB,SQLite,Tableau
Russia,RUS,Europe,Bachelor’s degree,"1-3 years",Data Scientist,Other,,Python,,
Canada,CAN,Americas,Doctoral degree,"5-10 years",Data Scientist,Manufacturing/Fabrication,80000.0,Python,,
Poland,POL,Europe,No formal education past high school,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,0.0,,,
Canada,CAN,Americas,Master’s degree,"3-5 years",Data Scientist,Energy/Mining,90000.0,Python;SQL;Bash,MySQL;PostgreSQL,
Saudi Arabia,SAU,Asia,Bachelor’s degree,"10-20 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,Python;SQL;C++;PHP,,
Argentina,ARG,Americas,Some college/university study without earning a bachelor’s degree,< 1 years,Data Administrator,Energy/Mining,1000.0,Python,,
United States of America,,,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,90000.0,,,
United States of America,,,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,30000.0,Python;R,,
India,IND,Asia,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,7500.0,Python,,
United States of America,,,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,0.0,Python;R;SQL,,
Japan,JPN,Asia,Bachelor’s degree,"5-10 years",Data Engineer,Online Service/Internet-based Services,40000.0,R;SQL;Javascript,SQLite;MongoDB,
United States of America,,,Master’s degree,"10-20 years",Data Scientist,Broadcasting/Communications,100000.0,Python;SQL,SQLite;Oracle Database,
Singapore,SGP,Asia,Master’s degree,"10-20 years",Data Scientist,Government/Public Service,30000.0,Python;R;SQL,SQLite,
Brazil,BRA,Americas,Doctoral degree,"1-3 years",Data Scientist,Online Service/Internet-based Services,10000.0,Python,SQLite,
United States of America,,,Master’s degree,"3-5 years",Data Scientist,Retail/Sales,125000.0,Python;R;SQL,MongoDB,
Nigeria,NGA,Africa,Bachelor’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,0.0,Python;SQL;Bash;MATLAB,,
United States of America,,,Doctoral degree,"5-10 years",Data Scientist,Medical/Pharmaceutical,125000.0,Python;MATLAB,,
United States of America,,,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,80000.0,Python;SQL,,
India,IND,Asia,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,10000.0,Python;SQL,,
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Accounting/Finance,200000.0,Python;SQL,SQLite,
United States of America,,,I prefer not to answer,"5-10 years",Data Scientist,Academics/Education,50000.0,Python;C;C++;Bash;MATLAB,,
Other,,,Doctoral degree,"3-5 years",Data Scientist,Medical/Pharmaceutical,70000.0,Python;R;SQL,SQLite,
United States of America,,,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,100000.0,R;SQL,,
Japan,JPN,Asia,Doctoral degree,"3-5 years",Data Scientist,Accounting/Finance,50000.0,Python;SQL,SQLite;MongoDB,
India,IND,Asia,Bachelor’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,,Python;R;C;Java;Javascript,,
Other,,,Doctoral degree,"5-10 years",Data Administrator,Accounting/Finance,1000.0,Python;Java;Javascript,MongoDB,
United Kingdom of Great Britain and Northern Ireland,,,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Broadcasting/Communications,50000.0,Python;SQL,MongoDB,
India,IND,Asia,I prefer not to answer,"5-10 years",Data Scientist,Computers/Technology,,Python,MongoDB,
India,IND,Asia,Master’s degree,"3-5 years",Data Scientist,Insurance/Risk Assessment,10000.0,Python;R;MATLAB,SQLite;MongoDB,Google Data Studio;Looker;Qlik Sense
Turkey,TUR,Asia,Master’s degree,"1-3 years",Data Scientist,Computers/Technology,,Python;SQL;Javascript,,
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Accounting/Finance,125000.0,Python;R;SQL,,
India,IND,Asia,Master’s degree,"1-3 years",Data Engineer,Computers/Technology,7500.0,Python;SQL,,
India,IND,Asia,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,15000.0,Python;SQL,,
India,IND,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,4000.0,Python;SQL,,
Other,,,Bachelor’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Broadcasting/Communications,15000.0,SQL,,
United States of America,,,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,Python,,
Czech Republic,,,Doctoral degree,"10-20 years",Data Scientist,Computers/Technology,50000.0,Python;SQL,,
Netherlands,NLD,Europe,Master’s degree,"10-20 years",Data Scientist,Energy/Mining,70000.0,Python;SQL,,
India,IND,Asia,Master’s degree,"5-10 years",Data Scientist,Computers/Technology,0.0,Python;Java,SQLite,
India,IND,Asia,Bachelor’s degree,"3-5 years",Data Scientist,Other,,Python;SQL;C;C++,,
India,IND,Asia,Master’s degree,"1-3 years",Data Scientist,Other,7500.0,Python,MySQL;SQLite;MongoDB;Snowflake,Tableau;Qlik Sense
Other,,,Doctoral degree,"3-5 years",Data Scientist,Government/Public Service,,Python;R,,
Pakistan,PAK,Asia,I prefer not to answer,"1-3 years",Data Scientist,Academics/Education,2000.0,Python;SQL,,
"Iran, Islamic Republic of...",,,No formal education past high school,< 1 years,Data Engineer,Academics/Education,0.0,Python;R;SQL,,
United Kingdom of Great Britain and Northern Ireland,,,Master’s degree,"5-10 years",Data Scientist,Computers/Technology,100000.0,Python;SQL,SQLite,
United States of America,,,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,70000.0,SQL,,
United States of America,,,Some college/university study without earning a bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,70000.0,Python;R;SQL,,
India,IND,Asia,Master’s degree,"1-3 years",Data Scientist,Computers/Technology,3000.0,Python;SQL;C++;Java,MySQL;PostgreSQL;SQLite;Oracle Database;MongoDB;Snowflake,Google Data Studio;Qlik Sense
United States of America,,,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,0.0,R;SQL,,
India,IND,Asia,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,4000.0,,,
India,IND,Asia,Bachelor’s degree,< 1 years,Data Scientist,Insurance/Risk Assessment,,Python,,
United States of America,,,Doctoral degree,"5-10 years",Data Scientist,Manufacturing/Fabrication,100000.0,Python;R;SQL,SQLite,
United States of America,,,Doctoral degree,"5-10 years",Data Scientist,Marketing/CRM,150000.0,Python;SQL,,
United States of America,,,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,5000.0,Python,,
Bangladesh,BGD,Asia,I prefer not to answer,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,0.0,,,
Japan,JPN,Asia,Doctoral degree,"3-5 years",Data Scientist,Accounting/Finance,50000.0,Python;SQL;Bash,,
United States of America,,,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,100000.0,Python;SQL,,
India,IND,Asia,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,,Python,,
India,IND,Asia,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,Python;SQL,,
India,IND,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,,Python;R;MATLAB,,
India,IND,Asia,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,Python;SQL;C;C++,,
India,IND,Asia,Bachelor’s degree,"3-5 years",Data Engineer,Computers/Technology,5000.0,Python;SQL,,
Other,,,Master’s degree,"1-3 years",Data Engineer,Marketing/CRM,20000.0,Python;SQL;C#;C++,,
Chile,CHL,Americas,Master’s degree,"3-5 years",Data Scientist,Computers/Technology,40000.0,Python;R;SQL,,
Mexico,MEX,Americas,Some college/university study without earning a bachelor’s degree,< 1 years,Data Scientist,Academics/Education,,Python;R;SQL,,
China,CHN,Asia,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,20000.0,Python,,
India,IND,Asia,Master’s degree,< 1 years,Data Scientist,Computers/Technology,,Python;C;C++,,
India,IND,Asia,I prefer not to answer,< 1 years,Data Scientist,Academics/Education,0.0,Python;R;Java,,
Israel,ISR,Asia,Professional doctorate,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,70000.0,Python;SQL,,
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Medical/Pharmaceutical,125000.0,Python;R;SQL,,
India,IND,Asia,Master’s degree,"1-3 years",Data Scientist,Other,,Python,,
United States of America,,,Bachelor’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,Python;SQL;C#;Javascript,Oracle Database,
"Iran, Islamic Republic of...",,,Master’s degree,"1-3 years",Data Scientist,Computers/Technology,4000.0,Python;SQL,,
Poland,POL,Europe,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,Python;SQL,MongoDB,
India,IND,Asia,I prefer not to answer,I have never written code,Data Scientist,Government/Public Service,,,,
Other,,,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,25000.0,,,
Israel,ISR,Asia,Doctoral degree,"5-10 years",Data Scientist,Computers/Technology,100000.0,Python;Bash,SQLite;MongoDB,
Poland,POL,Europe,Master’s degree,"5-10 years",Data Engineer,Marketing/CRM,,Python;SQL,,
France,FRA,Europe,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,,Python;R;C++,MongoDB,
United Arab Emirates,ARE,Asia,Master’s degree,"1-3 years",Data Scientist,Computers/Technology,,Python;SQL,,
Brazil,BRA,Americas,Professional doctorate,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,4000.0,,,
United States of America,,,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,Python;R;SQL,,
India,IND,Asia,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,Python;SQL,,
India,IND,Asia,Bachelor’s degree,< 1 years,Data Scientist,Accounting/Finance,,Python;SQL,,
Czech Republic,,,Master’s degree,"10-20 years",Data Scientist,Online Service/Internet-based Services,60000.0,Python;C++,SQLite,
Taiwan,TWN,Asia,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,,Python;R,,
India,IND,Asia,Bachelor’s degree,"1-3 years",Data Scientist,Insurance/Risk Assessment,15000.0,Python,,
Netherlands,NLD,Europe,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,,Python;SQL,,
United States of America,,,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,0.0,,,
Other,,,Master’s degree,"3-5 years",Data Scientist,Academics/Education,70000.0,Python;R;SQL;Javascript;PHP,,
Brazil,BRA,Americas,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,,,,
France,FRA,Europe,Master’s degree,"10-20 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,30000.0,Python;SQL,,
India,IND,Asia,Master’s degree,"5-10 years",Data Scientist,Other,0.0,Python;C,,
India,IND,Asia,Bachelor’s degree,< 1 years,Data Scientist,Accounting/Finance,,Python;R,,
Russia,RUS,Europe,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Broadcasting/Communications,7500.0,Python;SQL,,
India,IND,Asia,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,5000.0,,,
Other,,,Master’s degree,"1-3 years",Data Scientist,Medical/Pharmaceutical,3000.0,Python;SQL;Bash,SQLite,Tableau
India,IND,Asia,Bachelor’s degree,"5-10 years",Data Engineer,,,Python;SQL,,
Belgium,BEL,Europe,Master’s degree,"3-5 years",Data Scientist,Medical/Pharmaceutical,70000.0,Python,,
Brazil,BRA,Americas,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Energy/Mining,20000.0,Python;SQL,,
United States of America,,,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,7500.0,Python;R,,
Poland,POL,Europe,Some college/university study without earning a bachelor’s degree,"5-10 years",Data Scientist,Government/Public Service,1000.0,Python;R;SQL;Javascript;PHP,,
Viet Nam,,,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,10000.0,SQL,,
India,IND,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,4000.0,Python;SQL,,
Ukraine,UKR,Europe,I prefer not to answer,< 1 years,Data Scientist,Other,,Python,,
India,IND,Asia,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,3000.0,Python;SQL,,
United States of America,,,Master’s degree,"3-5 years",Data Scientist,Manufacturing/Fabrication,50000.0,Python;R;SQL;Bash,SQLite;MongoDB,Microsoft Power BI
Malaysia,MYS,Asia,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,,Python;R;SQL,,
Zimbabwe,ZWE,Africa,Bachelor’s degree,"1-3 years",Data Scientist,Other,15000.0,Python;Javascript,,
South Africa,ZAF,Africa,Some college/university study without earning a bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,0.0,,,
United States of America,,,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,60000.0,,,
United Kingdom of Great Britain and Northern Ireland,,,Master’s degree,"1-3 years",Data Scientist,Accounting/Finance,80000.0,Python;SQL,,
Nigeria,NGA,Africa,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,0.0,,,
United States of America,,,Doctoral degree,"5-10 years",Data Scientist,Manufacturing/Fabrication,150000.0,Python;R;SQL,,
Peru,PER,Americas,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,0.0,SQL,MongoDB,
Other,,,I prefer not to answer,I have never written code,Data Administrator,Medical/Pharmaceutical,0.0,,,
Spain,ESP,Europe,Master’s degree,"5-10 years",Data Scientist,Marketing/CRM,25000.0,Python;R,SQLite,
Other,,,Doctoral degree,"3-5 years",Data Scientist,Academics/Education,0.0,Python;SQL,,
Japan,JPN,Asia,Master’s degree,"1-3 years",Data Scientist,Manufacturing/Fabrication,20000.0,Python;R;SQL,,
Canada,CAN,Americas,Bachelor’s degree,"1-3 years",Data Scientist,Computers/Technology,100000.0,Python;SQL,,
India,IND,Asia,Master’s degree,"1-3 years",Data Scientist,Other,0.0,Python;R;SQL;C;MATLAB,,
United States of America,,,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,,R;SQL,,
China,CHN,Asia,I prefer not to answer,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,2000.0,Python;R;SQL,,
India,IND,Asia,Bachelor’s degree,< 1 years,Data Scientist,Computers/Technology,1000.0,SQL;C;C++,,
Pakistan,PAK,Asia,Bachelor’s degree,I have never written code,Data Scientist,Other,,,,
India,IND,Asia,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,,SQL,,
India,IND,Asia,Master’s degree,"10-20 years",Data Scientist,Computers/Technology,1000.0,Python,,
